Date,Open,High,Low,Close,Volume,Ticker
2024-08-21,5603.09,5632.68,5591.57,5620.85,3119670000,^GSPC
2024-08-22,5637.77,5643.22,5560.95,5570.64,2981530000,^GSPC
2024-08-23,5602.49,5641.82,5585.16,5634.61,3291940000,^GSPC
2024-08-26,5639.66,5651.62,5602.34,5616.84,2938570000,^GSPC
2024-08-27,5602.89,5631.18,5593.48,5625.80,2798990000,^GSPC
2024-08-28,5624.51,5627.03,5560.95,5592.18,3053450000,^GSPC
2024-08-29,5607.30,5646.95,5583.71,5591.96,3065640000,^GSPC
2024-08-30,5612.74,5651.37,5581.79,5648.40,4185850000,^GSPC
2024-09-03,5623.89,5623.89,5504.33,5528.93,3866350000,^GSPC
2024-09-04,5506.68,5552.99,5503.66,5520.07,3478140000,^GSPC
2024-09-05,5520.08,5546.30,5480.54,5503.41,3521650000,^GSPC
2024-09-06,5507.33,5522.47,5402.62,5408.42,3822800000,^GSPC
2024-09-09,5442.07,5484.20,5434.49,5471.05,3825940000,^GSPC
2024-09-10,5490.51,5497.91,5441.72,5495.52,3848180000,^GSPC
2024-09-11,5496.42,5560.41,5406.96,5554.13,3839450000,^GSPC
2024-09-12,5557.48,5600.71,5535.50,5595.76,3655070000,^GSPC
2024-09-13,5603.34,5636.27,5601.65,5626.02,3500790000,^GSPC
2024-09-16,5615.21,5636.05,5604.53,5633.09,3437070000,^GSPC
2024-09-17,5655.51,5670.81,5614.05,5634.58,3443600000,^GSPC
2024-09-18,5641.68,5689.75,5615.08,5618.26,3691390000,^GSPC
2024-09-19,5702.63,5733.57,5686.42,5713.64,4024530000,^GSPC
2024-09-20,5709.64,5715.14,5674.49,5702.55,7867260000,^GSPC
2024-09-23,5711.90,5725.36,5704.22,5718.57,3529550000,^GSPC
2024-09-24,5727.66,5735.32,5698.99,5732.93,3872710000,^GSPC
2024-09-25,5733.65,5741.03,5712.06,5722.26,3624910000,^GSPC
2024-09-26,5762.22,5767.37,5721.01,5745.37,4391180000,^GSPC
2024-09-27,5755.36,5763.78,5727.34,5738.17,3898530000,^GSPC
2024-09-30,5726.52,5765.14,5703.53,5762.48,4425730000,^GSPC
2024-10-01,5757.73,5757.73,5681.28,5708.75,4025180000,^GSPC
2024-10-02,5698.14,5719.63,5674.00,5709.54,3829050000,^GSPC
2024-10-03,5698.19,5718.78,5677.37,5699.94,3597450000,^GSPC
2024-10-04,5737.48,5753.21,5702.83,5751.07,3479400000,^GSPC
2024-10-07,5737.80,5739.34,5686.85,5695.94,3637790000,^GSPC
2024-10-08,5719.14,5757.60,5714.56,5751.13,3393400000,^GSPC
2024-10-09,5751.80,5796.80,5745.02,5792.04,3650340000,^GSPC
2024-10-10,5778.36,5795.03,5764.76,5780.05,3208790000,^GSPC
2024-10-11,5775.09,5822.13,5775.09,5815.03,3208720000,^GSPC
2024-10-14,5829.81,5871.41,5829.57,5859.85,3005250000,^GSPC
2024-10-15,5866.74,5870.36,5804.48,5815.26,3882120000,^GSPC
2024-10-16,5816.58,5846.52,5808.34,5842.47,3467230000,^GSPC
2024-10-17,5875.62,5878.46,5840.25,5841.47,3480010000,^GSPC
2024-10-18,5859.43,5872.17,5846.11,5864.67,3374490000,^GSPC
2024-10-21,5857.82,5866.92,5824.79,5853.98,3407010000,^GSPC
2024-10-22,5832.70,5863.04,5821.17,5851.20,3342080000,^GSPC
2024-10-23,5834.50,5834.85,5762.41,5797.42,3532650000,^GSPC
2024-10-24,5817.80,5817.80,5784.92,5809.86,3543030000,^GSPC
2024-10-25,5826.75,5862.82,5799.98,5808.12,3501280000,^GSPC
